89,101,122,316,748,702,181,385,2
91,118,118,316,765,729,191,412,2
96,112,111,301,796,626,175,408,2
97,111,114,284,856,713,181,401,2
94,155,114,282,815,750,177,383,2
83,159,119,283,836,805,149,334,2
84,152,120,288,785,790,129,300,2
83,155,130,318,809,810,146,292,2
102,154,124,319,810,763,146,303,2
96,116,110,294,802,750,148,267,2
104,112,104,311,856,723,154,312,2
114,126,100,323,908,721,160,335,2
114,129,120,332,959,746,147,348,2
97,130,122,368,967,748,153,371,2
100,127,125,367,967,814,166,394,2
90,122,126,351,944,831,169,356,2
85,104,122,343,952,871,171,330,2
90,99,98,313,920,854,169,317,2
99,115,123,252,923,842,169,302,2
104,128,139,262,891,808,152,330,2
114,134,151,296,883,806,160,348,2
114,139,157,323,897,780,157,367,2
115,139,162,343,892,775,169,474,2
107,131,154,387,929,825,170,475,2
103,111,138,396,989,769,170,452,2
91,103,118,409,986,720,163,440,2
91,95,112,388,982,737,180,439,2
85,98,99,387,996,697,186,356,2
85,97,83,361,974,616,182,337,2
82,98,78,331,903,653,178,304,2
83,104,88,304,933,658,161,284,2
86,106,92,305,955,723,187,371,2
88,103,110,314,958,779,215,387,2
89,130,143,294,905,770,208,411,2
92,142,145,323,881,748,208,420,2
88,157,145,322,843,777,218,419,2
81,158,143,306,754,731,205,345,2
85,158,138,286,742,703,164,348,2
80,130,99,279,727,748,168,317,2
85,126,110,267,820,729,171,334,2
88,111,156,245,847,676,162,333,2
85,137,169,273,872,656,147,382,2
77,154,183,282,852,647,144,427,2
85,162,200,279,917,637,159,443,2
86,160,200,310,898,722,155,442,2
87,158,186,336,846,775,164,470,2
93,145,178,371,833,804,152,412,2
135,145,169,390,865,826,158,448,2
134,137,157,396,825,782,145,444,2
130,135,161,390,904,778,159,443,2
130,145,169,431,1015,796,161,449,2
128,140,166,389,1021,735,168,450,2
111,140,188,458,1044,767,180,356,2
121,143,188,502,1063,863,186,443,2
123,144,213,487,945,817,180,440,2
125,137,194,451,854,775,180,410,2
122,139,203,466,905,845,170,400,2
135,181,189,427,878,812,221,395,2
127,199,196,410,914,733,233,300,2
129,207,179,424,971,747,266,299,2
124,220,176,407,957,791,270,320,2
122,214,166,422,920,712,271,327,2
78,172,147,373,888,695,218,281,2
88,178,160,373,824,712,198,322,2
99,172,150,341,789,686,153,372,2
102,146,154,390,901,649,157,396,2
103,189,174,363,897,739,164,436,2
105,189,208,404,957,767,165,432,2
88,165,188,379,938,785,161,391,2
73,166,182,408,933,861,157,360,2
74,169,183,359,842,866,152,393,2
73,126,170,338,847,800,147,353,2
78,138,152,325,796,745,166,447,2
83,136,151,309,870,757,168,447,2
84,134,182,328,885,679,182,422,2
79,144,183,338,864,713,181,362,2
118,151,216,454,974,725,220,426,2
112,130,199,416,910,803,211,340,2
122,164,209,446,870,769,228,364,2
123,158,181,461,935,789,214,417,2
125,164,194,456,954,736,211,410,2
107,175,178,349,841,782,172,444,2
115,184,183,357,928,709,167,468,2
113,153,169,332,923,734,147,469,2
108,152,173,257,889,703,143,438,2
116,137,161,302,910,687,153,477,2
105,108,134,299,887,642,145,371,2
116,111,143,402,923,666,152,398,2
109,111,153,395,923,698,169,439,2
113,119,164,433,893,753,176,448,2
110,125,160,425,894,788,159,407,2
110,135,168,450,992,832,173,409,2
96,123,165,368,922,829,161,389,2
110,125,155,361,947,842,144,337,2
106,117,136,323,934,800,135,333,2
101,108,133,296,898,809,133,330,2
107,110,162,319,881,747,108,351,2
100,110,162,319,851,755,105,293,2
82,111,173,327,818,673,96,262,2
