time, e1, e2, e3, e4, e5, e6, e7, e8, position 
9,66,116,78,115,54,72,26,33,0
9,66,115,80,115,58,73,28,34,0
9,66,113,79,112,56,74,27,35,0
9,67,111,80,107,54,72,31,32,0
9,64,111,80,104,52,73,31,32,0
9,67,109,80,100,54,72,33,34,0
9,65,110,79,101,49,74,31,33,0
9,69,108,79,104,52,73,33,33,0
9,70,111,79,105,55,76,31,33,0
9,71,114,79,105,55,75,31,36,0
9,68,114,79,107,55,77,31,36,0
9,70,115,79,109,54,74,30,37,0
9,67,115,81,108,56,76,28,36,0
9,67,114,80,109,52,73,28,35,0
9,68,112,80,111,51,74,28,37,0
10,73,110,79,111,52,74,28,36,0
10,75,109,79,110,53,76,28,34,0
10,76,112,79,113,53,74,27,35,0
10,76,111,81,112,54,75,26,36,0
10,75,115,78,111,55,73,24,32,0
10,71,116,82,112,54,70,24,35,0
10,68,116,82,110,56,70,24,35,0
10,65,113,82,109,58,71,28,34,0
10,64,113,81,110,58,70,28,35,0
10,65,113,82,112,60,69,28,34,0
10,65,115,82,109,61,71,29,31,0
10,68,114,80,109,59,69,29,33,0
10,70,114,80,107,55,67,29,33,0
10,70,113,77,106,57,66,29,33,0
10,71,110,76,103,60,68,31,32,0
10,72,109,75,102,59,65,33,32,0
10,71,112,78,106,58,67,33,33,0
10,69,110,77,107,58,71,32,33,0
10,69,111,79,106,57,72,33,32,0
10,69,112,79,107,53,75,34,33,0
10,67,111,79,108,54,76,32,33,0
10,67,110,78,104,55,74,31,30,0
10,67,111,80,104,59,72,29,32,0
10,66,110,80,107,61,70,30,32,0
10,65,111,81,107,59,67,27,31,0
10,66,111,82,108,58,69,26,30,0
10,67,111,85,109,60,68,26,31,0
10,71,114,86,109,60,71,28,29,0
10,70,114,83,107,60,74,28,29,0
10,73,115,82,107,62,74,29,30,0
10,72,117,81,107,64,74,29,32,0
10,69,121,77,110,63,75,30,32,0
10,66,117,74,110,61,72,28,34,0
10,65,117,74,111,61,71,29,33,0
10,61,118,75,112,62,73,28,34,0
10,62,116,75,112,60,70,28,34,0
10,67,114,74,111,62,70,28,34,0
10,67,112,77,109,61,67,28,33,0
10,68,113,78,109,61,66,28,33,0
10,71,111,78,108,57,64,29,32,0
10,71,111,77,109,58,64,30,31,0
10,71,112,81,107,54,65,31,31,0
10,72,114,80,107,54,69,33,31,0
10,73,112,79,105,51,68,31,30,0
10,70,111,78,106,53,70,30,32,0
10,71,110,77,104,50,71,29,32,0
10,67,110,74,104,52,69,27,32,0
10,63,107,75,105,57,70,30,30,0
10,61,109,75,105,61,72,29,33,0
11,62,108,77,106,63,70,29,34,0
11,61,110,78,106,66,71,29,34,0
11,64,111,79,106,68,73,31,35,0
11,66,112,80,106,62,69,27,35,0
11,69,112,80,107,59,67,28,37,0
11,68,116,81,107,58,70,28,34,0
11,73,115,79,106,54,72,28,35,0
11,71,117,79,110,55,71,29,33,0
11,70,116,80,110,61,72,29,34,0
11,69,119,78,110,63,74,29,30,0
11,70,115,80,109,62,73,29,29,0
11,67,116,79,111,66,69,30,30,0
11,68,113,78,108,64,68,27,32,0
11,67,113,77,109,61,70,27,30,0
11,67,110,75,108,60,71,29,33,0
11,68,109,72,108,59,69,29,31,0
11,66,109,73,109,55,73,29,30,0
11,64,108,76,111,56,73,32,31,0
11,69,109,77,108,57,70,31,33,0
11,69,111,78,106,56,68,31,32,0
11,67,112,81,107,56,69,35,35,0
11,70,112,81,107,58,67,33,35,0
11,72,115,80,106,59,68,32,33,0
11,67,113,77,106,59,70,31,31,0
11,68,112,80,108,60,70,29,32,0
11,69,112,78,106,61,66,25,30,0
11,69,114,77,104,61,66,25,30,0
11,70,110,76,103,62,65,26,29,0
11,73,110,75,101,57,65,28,31,0
11,70,111,73,101,60,65,28,32,0
11,70,111,76,102,57,69,29,31,0
11,68,108,78,102,55,73,29,31,0
11,64,113,80,104,55,72,29,30,0
11,63,112,80,104,60,72,28,28,0
11,65,113,79,105,55,74,29,26,0
11,62,114,77,106,58,72,28,29,0
11,65,113,76,109,61,67,30,29,0
11,66,110,75,112,60,68,30,29,0
11,66,112,74,114,58,67,29,29,0
11,69,111,74,112,60,66,29,29,0
